Coefficient,Variable,Slope
a1,I2,0.014790923835486377
a1,I3,nan
a1,phi,-0.013442128209094567
a1,epsilon,0.2796928896768908
a2,I2,0.23881222421521228
a2,I3,nan
a2,phi,0.23733292213728704
a2,epsilon,0.2852182919009872
a3,I2,0.26125869316618133
a3,I3,nan
a3,phi,0.2653030693494458
a3,epsilon,0.32630974386227957
